fecha,codigo,facultad,area,materia,seccion,horario,dias,evaluacion,tipo,inscritos,examinados,modalidad
2022-03-16,INT2-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS II,01,06:30-08:00,Lu-Mie-Vie,SEGUNDA,ORDINARIA,27,24,EN LINEA
2022-03-16,EPRO-AC,Facultad de Ciencias Sociales,ANTROPOLOGIA,ÉTICA,07,09:45-11:15,Mie-Sab,SEGUNDA,ORDINARIA,17,17,PRESENCIAL
2022-03-16,INI1-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS I,01,06:30-08:00,Lu-Mie-Vie,SEGUNDA,ORDINARIA,62,57,EN LINEA
2022-03-16,INT1-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS I,01,06:30-08:00,Lu-Mie-Vie,SEGUNDA,ORDINARIA,28,24,EN LINEA
2022-03-16,LOCO-N,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,LÓGICA COMPUTACIONAL,01,06:30-08:00,Mie-Sab,SEGUNDA,ORDINARIA,34,30,EN LINEA
2022-03-16,ESTP-I,Facultad de Informática y Ciencias Aplicadas,CIENCIAS APLICADAS AREA INDUSTRIAL Y MATEMATICAS,ESTADÍSTICA I,01,06:30-08:00,Mie-Sab,SEGUNDA,ORDINARIA,64,55,EN LINEA
2022-03-16,STCC-H,Facultad de Ciencias Sociales,IDIOMAS,SEMINARIO TALLER DE COMPETENCIAS,05,09:45-11:15,Mie-Sab,SEGUNDA,ORDINARIA,32,27,PRESENCIAL
2022-03-16,INI4-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS IV,01,06:30-08:00,Lu-Mie-Vie,SEGUNDA,ORDINARIA,56,54,EN LINEA
2022-03-16,INT4-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS IV,01,06:30-08:00,Lu-Mie-Vie,SEGUNDA,ORDINARIA,32,31,EN LINEA
2022-03-16,EXOE-H,Facultad de Ciencias Sociales,IDIOMAS,EXPRESIÓN ORAL Y ESCRITA DEL ESPAÑOL,02,06:30-08:00,Mie-Sab,SEGUNDA,ORDINARIA,64,59,EN LINEA
2022-03-16,COF2-E,Facultad de Ciencias Empresariales,NEGOCIOS,CONTABILIDAD FINANCIERA II,01,06:30-08:00,Mie-Sab,SEGUNDA,ORDINARIA,60,48,EN LINEA
2022-03-16,INI5-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA NEGOCIOS V,01,06:30-08:00,Lu-Mie-Vie,SEGUNDA,ORDINARIA,27,27,EN LINEA
2022-03-16,INT5-I,Facultad de Ciencias Sociales,IDIOMAS,INGLÉS PARA TURISMO V,01,06:30-08:00,Lu-Mie-Vie,SEGUNDA,ORDINARIA,14,14,EN LINEA
2022-03-16,ALG1-E,Facultad de Informática y Ciencias Aplicadas,INFORMATICA,ALGORITMOS I,02,06:30-08:00,Mie-Sab,SEGUNDA,ORDINARIA,18,14,EN LINEA
